
============================================================
SPECIES: C.elegans  (N=279, k_avg=16.4)
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 25351 (\N{CJK UNIFIED IDEOGRAPH-6307}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 38190 (\N{CJK UNIFIED IDEOGRAPH-952E}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 27604 (\N{CJK UNIFIED IDEOGRAPH-6BD4}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,
/home/work/.openclaw/workspace/sdi_sim/sdi_experiment1_v2.py:616: UserWarning: Glyph 20363 (\N{CJK UNIFIED IDEOGRAPH-4F8B}) missing from font(s) DejaVu Sans.
  plt.savefig(f'{OUT_DIR}/experiment1_v2_convergence.png', dpi=130,

--- Macaque_Cortex FINAL (5.8s) ---
  ❌ sigma=0.538  target=(3.0, None)
  ❌ C=0.032  target=(0.4, None)
  ❌ L=1.969  target=(2.0, 3.5)
  ❌ alpha=-0.395  target=(1.5, 2.5)
  ✅ EL=0.216  target=(0.15, 0.28)
  SCORE: 1/5

============================================================
ALL DONE. Total: 29.4s
============================================================
  C.elegans: 2/5  (sigma=0.60 C=0.028 L=2.02 alpha=-0.3844152635724574 EL=20.9%)
  Larval_Drosophila: 2/5  (sigma=0.44 C=0.065 L=1.75 alpha=-0.4728597127131772 EL=20.0%)
  Rat_Cortex: 2/5  (sigma=0.41 C=0.143 L=1.71 alpha=-0.41448521199202326 EL=21.2%)
  Mouse_Cortex: 2/5  (sigma=0.39 C=0.216 L=1.56 alpha=-0.5932388515226232 EL=19.9%)
  Macaque_Cortex: 1/5  (sigma=0.54 C=0.032 L=1.97 alpha=-0.3948924335636333 EL=21.6%)
Results saved.
Plot saved: experiment1_v2_convergence.png
DONE
